Name,,,
P-,63,,
units,ft,,
top_depth ,base_depth,lithology,description
0,10.5,none,overburden
10.5,18.3,none,sandstone and clay bands
18.3,20.5,none,"sandstone, red"
20.5,21.6,none,"sandstone, grey"
21.6,23.5,none,"conglomerate, red"
23.5,28,none,"sandstone and conglomerate, red"
28,31,none,"sandstone, grey"
31,32,none,"conglomerate, red"
32,33.7,none,"sandstone, grey"
33.7,38.5,none,"sandstone, red"
38.5,40,none,"sandstone, grey"
40,42.4,none,"sandstone and conglomerate, red"
42.4,43,none,"sandstone, grey"
45.3,47.5,none,"sandstone and conglomerate, red"
47.5,55.8,none,"sandstone, red"
55.8,62,none,conglomerate and sandstone bands
62,74,none,"conglomerate, red"
74,78.5,none,"sandstone, red"
78.5,84,none,"conglomerate, red"
84,84.5,none,"sandstone, red"
84.5,88,none,"conglomerate, red"
88,90,none,"sandstone, red"
90,95,none,"conglomerate, red"
95,99.5,none,sandstone and conglomerate
99.5,103.4,none,"sandstone, grey"
103.4,105.4,none,"conglomerate, red"
105.4,107.5,none,"sandstone, grey"
107.5,113.5,none,"conglomerate, red"
113.5,115,none,"sandy shale, red"
115,133.5,none,"conglomerate, red"
133.5,137,none,"sandstone, red"
137,191.5,none,"conglomerate, red"
191.5,194,none,"sandstone, grey"
194,218.5,none,"conglomerate, red"
218.5,227.5,none,"sandstone and conglomerate bands, red"
227.5,228.5,none,"conglomerate, red"
228.5,230.7,none,"sandstone, grey"
230.7,233.3,none,"conglomerate, red"
233.3,234.5,none,sandstone
234.5,235.5,none,"conglomerate, red"
235.5,238.9,none,"sandstone, red"
238.9,253.3,none,"conglomerate, red"
253.3,255,none,"sandstone, red"
255,259,none,"sandstone, grey"
259,288.5,none,"conglomerate, red"
288.5,291.3,none,"sandstone, grey"
291.3,301,none,"conglomerate, red"
301,303.5,none,"conglomerate, grey"
303.5,416,none,"conglomerate, red"
416,420,none,"sandstone, grey"
420,484,none,"conglomerate, red"
484,485.5,none,"sandstone, grey"
485.5,558.5,none,"conglomerate, red"
558.5,567.7,none,"conglomerate with sandstone bands, red and grey"
567.7,645,none,"conglomerate, red"
,,,
