elev,perc
0.000,0.000
0.010,0.000
0.020,0.000
0.030,0.000
0.040,0.000
0.050,0.000
0.060,0.000
0.070,0.000
0.080,0.000
0.090,0.000
0.100,0.000
0.110,0.000
0.120,0.000
0.130,0.000
0.140,0.000
0.150,0.000
0.160,0.000
0.170,0.000
0.180,0.000
0.190,0.000
0.200,0.000
0.210,0.000
0.220,0.000
0.230,0.000
0.240,0.000
0.250,0.000
0.260,0.000
0.270,0.000
0.280,0.000
0.290,0.000
0.300,0.000
0.310,0.000
0.320,0.000
0.330,0.000
0.340,0.000
0.350,0.000
0.360,0.000
0.370,0.000
0.380,0.000
0.390,0.000
0.400,0.000
0.410,0.000
0.420,0.000
0.430,0.000
0.440,0.000
0.450,0.000
0.460,0.000
0.470,0.000
0.480,0.000
0.490,0.000
0.500,0.000
0.510,0.400
0.520,0.800
0.530,1.200
0.540,1.600
0.550,2.000
0.560,2.400
0.570,2.800
0.580,3.200
0.590,3.600
0.600,4.000
0.610,4.400
0.620,4.800
0.630,5.200
0.640,5.600
0.650,6.000
0.660,6.400
0.670,6.400
0.680,6.400
0.690,6.400
0.700,6.400
0.710,6.400
0.720,6.400
0.730,6.400
0.740,6.400
0.750,6.400
0.760,6.400
0.770,6.400
0.780,6.400
0.790,6.400
0.800,6.400
0.810,6.400
0.820,6.400
0.830,6.400
0.840,6.400
0.850,6.400
0.860,6.400
0.870,6.400
0.880,6.400
0.890,6.400
0.900,6.400
0.910,6.400
0.920,6.400
0.930,6.800
0.940,7.200
0.950,7.600
0.960,8.000
0.970,8.400
0.980,8.800
0.990,9.200
1.000,9.200
1.010,9.200
1.020,9.200
1.030,9.200
1.040,9.200
1.050,9.200
1.060,9.200
1.070,9.200
1.080,9.200
1.090,9.200
1.100,9.200
1.110,9.200
1.120,9.200
1.130,9.200
1.140,9.200
1.150,9.200
1.160,9.200
1.170,9.200
1.180,9.200
1.190,9.200
1.200,9.200
1.210,9.200
1.220,9.200
1.230,9.200
1.240,9.200
1.250,9.200
1.260,9.200
1.270,9.200
1.280,9.200
1.290,9.200
1.300,9.200
1.310,9.200
1.320,9.200
1.330,9.200
1.340,9.200
1.350,9.200
1.360,9.600
1.370,10.000
1.380,10.400
1.390,10.800
1.400,11.200
1.410,11.600
1.420,12.000
1.430,12.400
1.440,12.800
1.450,13.200
1.460,13.600
1.470,14.000
1.480,14.400
1.490,14.800
1.500,15.200
1.510,15.600
1.520,16.000
1.530,16.400
1.540,16.800
1.550,17.200
1.560,17.600
1.570,18.000
1.580,18.400
1.590,18.800
1.600,19.200
1.610,19.600
1.620,20.000
1.630,20.400
1.640,20.800
1.650,21.200
1.660,21.600
1.670,22.000
1.680,22.400
1.690,22.400
1.700,22.400
1.710,22.400
1.720,22.400
1.730,22.400
1.740,22.400
1.750,22.400
1.760,22.400
1.770,22.400
1.780,22.400
1.790,22.400
1.800,22.800
1.810,23.200
1.820,23.600
1.830,24.000
1.840,24.400
1.850,24.800
1.860,25.200
1.870,25.600
1.880,26.000
1.890,26.400
1.900,26.800
1.910,27.200
1.920,27.600
1.930,28.000
1.940,28.400
1.950,28.800
1.960,29.200
1.970,29.600
1.980,30.000
1.990,30.400
2.000,30.800
2.010,31.200
2.020,31.600
2.030,32.000
2.040,32.400
2.050,32.800
2.060,33.200
2.070,33.600
2.080,34.000
2.090,34.400
2.100,34.800
2.110,35.200
2.120,35.600
2.130,36.000
2.140,36.400
2.150,36.800
2.160,37.200
2.170,37.600
2.180,38.000
2.190,38.400
2.200,38.800
2.210,39.200
2.220,39.600
2.230,40.000
2.240,40.400
2.250,40.800
2.260,41.200
2.270,41.600
2.280,42.000
2.290,42.400
2.300,42.800
2.310,43.200
2.320,43.600
2.330,44.000
2.340,44.400
2.350,44.800
2.360,45.200
2.370,45.600
2.380,46.000
2.390,46.400
2.400,46.800
2.410,47.200
2.420,47.600
2.430,48.000
2.440,48.400
2.450,48.800
2.460,49.200
2.470,49.600
2.480,50.000
2.490,50.400
2.500,50.800
2.510,51.200
2.520,51.600
2.530,52.000
2.540,52.400
2.550,52.800
2.560,53.200
2.570,53.600
2.580,54.000
2.590,54.400
2.600,54.800
2.610,55.200
2.620,55.600
2.630,56.000
2.640,56.400
2.650,56.800
2.660,57.200
2.670,57.600
2.680,58.000
2.690,58.400
2.700,58.800
2.710,59.200
2.720,59.600
2.730,60.000
2.740,60.400
2.750,60.800
2.760,61.200
2.770,61.600
2.780,62.000
2.790,62.400
2.800,62.800
2.810,63.200
2.820,63.600
2.830,64.000
2.840,64.400
2.850,64.800
2.860,65.200
2.870,65.600
2.880,66.000
2.890,66.400
2.900,66.800
2.910,67.200
2.920,67.600
2.930,68.000
2.940,68.400
2.950,68.800
2.960,69.200
2.970,69.600
2.980,70.000
2.990,70.400
3.000,70.800
3.010,70.800
3.020,70.800
3.030,70.800
3.040,70.800
3.050,70.800
3.060,70.800
3.070,70.800
3.080,70.800
3.090,70.800
3.100,70.800
3.110,70.800
3.120,70.800
3.130,70.800
3.140,70.800
3.150,70.800
3.160,70.800
3.170,71.200
3.180,71.600
3.190,72.000
3.200,72.400
3.210,72.800
3.220,73.200
3.230,73.600
3.240,74.000
3.250,74.400
3.260,74.800
3.270,75.200
3.280,75.600
3.290,76.000
3.300,76.400
3.310,76.800
3.320,77.200
3.330,77.600
3.340,78.000
3.350,78.400
3.360,78.800
3.370,79.200
3.380,79.600
3.390,80.000
3.400,80.400
3.410,80.800
3.420,81.200
3.430,81.200
3.440,81.200
3.450,81.200
3.460,81.200
3.470,81.200
3.480,81.200
3.490,81.200
3.500,81.600
3.510,82.000
3.520,82.400
3.530,82.800
3.540,83.200
3.550,83.600
3.560,84.000
3.570,84.400
3.580,84.800
3.590,85.200
3.600,85.600
3.610,86.000
3.620,86.400
3.630,86.800
3.640,87.200
3.650,87.600
3.660,88.000
3.670,88.400
3.680,88.400
3.690,88.400
3.700,88.400
3.710,88.400
3.720,88.400
3.730,88.400
3.740,88.400
3.750,88.400
3.760,88.400
3.770,88.400
3.780,88.400
3.790,88.400
3.800,88.400
3.810,88.400
3.820,88.400
3.830,88.400
3.840,88.400
3.850,88.400
3.860,88.000
3.870,87.600
3.880,87.200
3.890,86.800
3.900,86.400
3.910,86.000
3.920,85.600
3.930,85.200
3.940,84.800
3.950,84.400
3.960,84.000
3.970,83.600
3.980,83.200
3.990,82.800
4.000,82.400
4.010,82.400
4.020,82.400
4.030,82.400
4.040,82.400
4.050,82.400
4.060,82.400
4.070,82.000
4.080,81.600
4.090,81.200
4.100,80.800
4.110,80.400
4.120,80.000
4.130,79.600
4.140,79.200
4.150,78.800
4.160,78.400
4.170,78.000
4.180,77.600
4.190,77.600
4.200,77.600
4.210,77.600
4.220,77.600
4.230,77.600
4.240,77.600
4.250,77.600
4.260,77.600
4.270,77.600
4.280,77.600
4.290,77.600
4.300,77.200
4.310,76.800
4.320,76.400
4.330,76.000
4.340,75.600
4.350,75.200
4.360,74.800
4.370,74.400
4.380,74.000
4.390,73.600
4.400,73.200
4.410,72.800
4.420,72.400
4.430,72.000
4.440,71.600
4.450,71.200
4.460,70.800
4.470,70.400
4.480,70.000
4.490,69.600
4.500,69.200
4.510,68.800
4.520,68.400
4.530,68.000
4.540,67.600
4.550,67.200
4.560,66.800
4.570,66.400
4.580,66.000
4.590,65.600
4.600,65.200
4.610,64.800
4.620,64.400
4.630,64.000
4.640,63.600
4.650,63.200
4.660,62.800
4.670,62.400
4.680,62.000
4.690,61.600
4.700,61.200
4.710,61.200
4.720,61.200
4.730,61.200
4.740,61.200
4.750,61.200
4.760,61.200
4.770,60.800
4.780,60.400
4.790,60.000
4.800,59.600
4.810,59.200
4.820,58.800
4.830,58.400
4.840,58.000
4.850,57.600
4.860,57.200
4.870,56.800
4.880,56.400
4.890,56.000
4.900,55.600
4.910,55.200
4.920,54.800
4.930,54.400
4.940,54.000
4.950,53.600
4.960,53.200
4.970,52.800
4.980,52.400
4.990,52.000
5.000,51.600
5.010,51.200
5.020,50.800
5.030,50.400
5.040,50.000
5.050,49.600
5.060,49.200
5.070,48.800
5.080,48.400
5.090,48.000
5.100,47.600
5.110,47.200
5.120,46.800
5.130,46.400
5.140,46.000
5.150,45.600
5.160,45.200
5.170,44.800
5.180,44.400
5.190,44.000
5.200,43.600
5.210,43.200
5.220,42.800
5.230,42.400
5.240,42.000
5.250,41.600
5.260,41.200
5.270,40.800
5.280,40.400
5.290,40.000
5.300,39.600
5.310,39.200
5.320,38.800
5.330,38.400
5.340,38.000
5.350,37.600
5.360,37.200
5.370,36.800
5.380,36.400
5.390,36.000
5.400,35.600
5.410,35.200
5.420,34.800
5.430,34.400
5.440,34.000
5.450,33.600
5.460,33.200
5.470,32.800
5.480,32.400
5.490,32.000
5.500,31.600
5.510,31.200
5.520,30.800
5.530,30.400
5.540,30.000
5.550,29.600
5.560,29.200
5.570,28.800
5.580,28.400
5.590,28.000
5.600,27.600
5.610,27.200
5.620,26.800
5.630,26.400
5.640,26.000
5.650,25.600
5.660,25.200
5.670,24.800
5.680,24.400
5.690,24.000
5.700,23.600
5.710,23.200
5.720,22.800
5.730,22.400
5.740,22.000
5.750,21.600
5.760,21.200
5.770,20.800
5.780,20.400
5.790,20.000
5.800,19.600
5.810,19.200
5.820,18.800
5.830,18.400
5.840,18.000
5.850,17.600
5.860,17.200
5.870,16.800
5.880,16.400
5.890,16.000
5.900,15.600
5.910,15.200
5.920,14.800
5.930,14.400
5.940,14.000
5.950,13.600
5.960,13.200
5.970,12.800
5.980,12.400
5.990,12.000
6.000,11.600
6.010,11.200
6.020,10.800
6.030,10.400
6.040,10.000
6.050,9.600
6.060,9.200
6.070,8.800
6.080,8.400
6.090,8.000
6.100,7.600
6.110,7.200
6.120,6.800
6.130,6.400
6.140,6.000
6.150,5.600
6.160,5.200
6.170,4.800
6.180,4.800
6.190,4.800
6.200,4.800
6.210,4.800
6.220,4.800
6.230,4.800
6.240,4.800
6.250,5.200
6.260,5.600
6.270,6.000
6.280,6.400
6.290,6.800
6.300,7.200
6.310,7.200
6.320,7.200
6.330,7.200
6.340,7.200
6.350,7.200
6.360,7.200
6.370,7.200
6.380,7.200
6.390,7.200
6.400,7.200
6.410,7.200
6.420,7.200
6.430,7.200
6.440,7.200
6.450,7.200
6.460,7.200
6.470,7.200
6.480,7.200
6.490,7.200
6.500,7.200
6.510,6.800
6.520,6.400
6.530,6.000
6.540,5.600
6.550,5.200
6.560,4.800
6.570,4.800
6.580,4.800
6.590,4.800
6.600,4.800
6.610,4.800
6.620,4.800
6.630,4.800
6.640,4.800
6.650,4.800
6.660,4.800
6.670,4.800
6.680,4.800
6.690,4.800
6.700,4.800
6.710,4.800
6.720,4.800
6.730,4.800
6.740,4.800
6.750,4.800
6.760,4.800
6.770,4.800
6.780,4.800
6.790,4.800
6.800,4.800
6.810,4.800
6.820,4.800
6.830,4.800
6.840,4.800
6.850,4.800
6.860,4.800
6.870,4.800
6.880,4.800
6.890,4.800
6.900,4.800
6.910,4.800
6.920,4.800
6.930,4.800
6.940,4.800
6.950,4.800
6.960,4.800
6.970,4.800
6.980,4.800
6.990,4.800
7.000,4.800
7.010,4.800
7.020,4.800
7.030,4.800
7.040,4.800
7.050,4.800
7.060,4.800
7.070,4.800
7.080,4.800
7.090,4.800
7.100,4.800
7.110,4.800
7.120,4.800
7.130,4.800
7.140,4.800
7.150,4.800
7.160,4.800
7.170,4.800
7.180,4.800
7.190,4.800
7.200,4.800
7.210,4.400
7.220,4.000
7.230,3.600
7.240,3.200
7.250,2.800
7.260,2.400
7.270,2.400
7.280,2.400
7.290,2.400
7.300,2.400
7.310,2.400
7.320,2.400
7.330,2.400
7.340,2.400
7.350,2.400
7.360,2.400
7.370,2.400
7.380,2.400
7.390,2.400
7.400,2.400
7.410,2.400
7.420,2.400
7.430,2.400
7.440,2.400
7.450,2.400
7.460,2.400
7.470,2.400
7.480,2.400
7.490,2.400
7.500,2.400
7.510,2.400
7.520,2.400
7.530,2.400
7.540,2.400
7.550,2.400
7.560,2.400
7.570,2.400
7.580,2.400
7.590,2.400
7.600,2.400
7.610,2.400
7.620,2.400
7.630,2.400
7.640,2.400
7.650,2.400
7.660,2.400
7.670,2.400
7.680,2.400
7.690,2.400
7.700,2.400
7.710,2.400
7.720,2.400
7.730,2.400
7.740,2.400
7.750,2.400
7.760,2.400
7.770,2.400
7.780,2.400
7.790,2.400
7.800,2.400
7.810,2.400
7.820,2.400
7.830,2.400
7.840,2.400
7.850,2.400
7.860,2.400
7.870,2.400
7.880,2.400
7.890,2.400
7.900,2.400
7.910,2.400
7.920,2.400
7.930,2.400
7.940,2.400
7.950,2.400
7.960,2.400
7.970,2.400
7.980,2.400
7.990,2.400
8.000,2.400
8.010,2.400
8.020,2.400
8.030,2.400
8.040,2.400
8.050,2.400
8.060,2.400
8.070,2.400
8.080,2.400
8.090,2.400
8.100,2.400
8.110,2.400
8.120,2.400
8.130,2.400
8.140,2.400
8.150,2.400
8.160,2.400
8.170,2.400
8.180,2.400
8.190,2.400
8.200,2.400
8.210,2.400
8.220,2.400
8.230,2.400
8.240,2.400
8.250,2.400
8.260,2.400
8.270,2.400
8.280,2.400
8.290,2.400
8.300,2.400
8.310,2.400
8.320,2.400
8.330,2.400
8.340,2.400
8.350,2.400
8.360,2.400
8.370,2.400
8.380,2.400
8.390,2.400
8.400,2.400
8.410,2.400
8.420,2.400
8.430,2.400
8.440,2.400
8.450,2.400
8.460,2.400
8.470,2.400
8.480,2.400
8.490,2.400
8.500,2.400
8.510,2.400
8.520,2.400
8.530,2.400
8.540,2.400
8.550,2.400
8.560,2.400
8.570,2.400
8.580,2.400
8.590,2.400
8.600,2.400
8.610,2.400
8.620,2.400
8.630,2.400
8.640,2.400
8.650,2.400
8.660,2.400
8.670,2.400
8.680,2.400
8.690,2.400
8.700,2.400
8.710,2.400
8.720,2.400
8.730,2.400
8.740,2.400
8.750,2.000
8.760,1.600
8.770,1.200
8.780,0.800
8.790,0.400
8.800,0.000
8.810,0.000
8.820,0.000
8.830,0.000
8.840,0.000
8.850,0.000
8.860,0.000
8.870,0.400
8.880,0.800
8.890,1.200
8.900,1.600
8.910,2.000
8.920,2.400
8.930,2.800
8.940,2.800
8.950,2.800
8.960,2.800
8.970,2.800
8.980,2.800
8.990,2.800
9.000,2.800
9.010,2.800
9.020,2.800
9.030,2.800
9.040,2.800
9.050,2.800
9.060,2.800
9.070,2.800
9.080,2.800
9.090,2.800
9.100,2.800
9.110,2.800
9.120,2.800
9.130,2.800
9.140,2.800
9.150,2.800
9.160,2.800
9.170,2.800
9.180,2.800
9.190,2.800
9.200,2.800
9.210,2.800
9.220,2.800
9.230,2.800
9.240,2.800
9.250,2.800
9.260,2.800
9.270,2.800
9.280,2.800
9.290,2.800
9.300,2.800
9.310,2.800
9.320,2.800
9.330,2.800
9.340,2.800
9.350,2.800
9.360,2.800
9.370,2.800
9.380,2.800
9.390,2.800
9.400,2.800
9.410,2.800
9.420,2.800
9.430,2.800
9.440,2.800
9.450,2.800
9.460,2.800
9.470,2.800
9.480,2.800
9.490,2.800
9.500,2.800
9.510,2.800
9.520,2.800
9.530,2.800
9.540,2.800
9.550,2.800
9.560,2.800
9.570,2.800
9.580,2.800
9.590,2.800
9.600,2.800
9.610,2.800
9.620,2.800
9.630,2.800
9.640,2.800
9.650,2.800
9.660,2.800
9.670,2.800
9.680,2.800
9.690,2.800
9.700,2.800
9.710,2.800
9.720,2.800
9.730,2.800
9.740,2.800
9.750,2.800
9.760,2.800
9.770,2.800
9.780,2.800
9.790,2.800
9.800,2.800
9.810,2.800
9.820,2.800
9.830,2.800
9.840,2.800
9.850,2.800
9.860,2.800
9.870,2.800
9.880,2.800
9.890,2.800
9.900,2.800
9.910,2.800
9.920,2.800
9.930,2.800
9.940,2.800
9.950,2.800
9.960,2.800
9.970,2.800
9.980,2.800
9.990,2.800
10.000,2.800
10.010,2.800
10.020,2.800
10.030,2.800
10.040,2.800
10.050,2.800
10.060,2.800
10.070,2.800
10.080,2.800
10.090,2.800
10.100,2.800
10.110,2.800
10.120,2.800
10.130,2.800
10.140,2.800
10.150,2.800
10.160,2.800
10.170,2.800
10.180,2.800
10.190,2.800
10.200,2.800
10.210,2.800
10.220,2.800
10.230,2.800
10.240,2.800
10.250,2.800
10.260,2.800
10.270,2.800
10.280,2.800
10.290,2.800
10.300,2.800
10.310,2.800
10.320,2.800
10.330,2.800
10.340,2.800
10.350,2.800
10.360,2.800
10.370,2.800
10.380,2.800
10.390,2.800
10.400,2.800
10.410,2.800
10.420,2.800
10.430,2.800
10.440,2.800
10.450,2.800
10.460,2.800
10.470,2.800
10.480,2.800
10.490,2.800
10.500,2.800
10.510,2.800
10.520,2.800
10.530,2.800
10.540,2.800
10.550,2.800
10.560,2.800
10.570,2.800
10.580,2.800
10.590,2.800
10.600,2.800
10.610,2.800
10.620,2.800
10.630,3.200
10.640,3.600
10.650,4.000
10.660,4.400
10.670,4.800
10.680,5.200
10.690,5.600
10.700,6.000
10.710,6.000
10.720,6.000
10.730,6.000
10.740,6.000
10.750,6.000
10.760,6.000
10.770,6.000
10.780,6.000
10.790,6.000
10.800,6.000
10.810,6.000
10.820,6.000
10.830,6.000
10.840,6.000
10.850,6.000
10.860,6.000
10.870,6.000
10.880,6.000
10.890,6.000
10.900,6.000
10.910,6.000
10.920,6.000
10.930,6.000
10.940,6.000
10.950,6.000
10.960,6.000
10.970,6.000
10.980,6.000
10.990,6.000
11.000,6.000
11.010,6.000
11.020,6.000
11.030,6.000
11.040,6.000
11.050,6.000
11.060,6.000
11.070,6.000
11.080,6.000
11.090,6.000
11.100,6.000
11.110,6.000
11.120,6.000
11.130,6.000
11.140,6.000
11.150,6.000
11.160,6.000
11.170,6.000
11.180,6.000
11.190,6.000
11.200,6.000
11.210,6.000
11.220,6.000
11.230,6.000
11.240,6.000
11.250,6.000
11.260,6.000
11.270,6.000
11.280,6.000
11.290,6.000
11.300,6.000
11.310,6.000
11.320,6.000
11.330,6.000
11.340,6.000
11.350,6.000
11.360,6.000
11.370,5.600
11.380,5.200
11.390,4.800
11.400,4.400
11.410,4.000
11.420,3.600
11.430,3.200
11.440,3.200
11.450,3.200
11.460,3.200
11.470,3.200
11.480,3.200
11.490,3.200
11.500,3.200
11.510,3.200
11.520,3.200
11.530,3.200
11.540,3.200
